Color | Prmt. Choose Indicator,Color | Prmt. Ticket Type,created_date,Current Date,Filter | Choose Indicator,Filter | Measure Nominal Numbers,Filter | Month Name,Filter | Prmt. Change Table,Filter | Selected Month Parameter,Filter | Year,Group | Range of Open Days,Group | Satisfaction Score,Group | Ticket Status,issue_category,owner_group,Prmt | Change Header,requestor_fname,requestor_lname,severity,statisfaction_score,Text | 1,Text | 2,Text | 3,Text | 4,Text | Complete Name,Text | Prmt. Change Table,Text | Severity Correct,ticket status,ticket_number,ticket_type,# Open Tickets,# Resolved Tickets,# Unknow SatisfactionTickets,# Waiting for Requester,% Engagement Feedback Score,% Open Days vs. Target,% Satisfaction,% Satisfaction vs.Target,"Color | Dispersion Satisfaction vs, Open Days",Color | Negative |  Open Day vs. Target,Color | Negative | % Satisfied vs. Target,Color | Positive | % Open Day vs. Target,Color | Positive | % Satisfied vs. Target,days_open,Format | Nominal Numbers Prmt. Indicator,Format | Percent Numbers Prmt. Indicator,Prmt | Choose Indicator
1,1,22-09-2020,24-09-2025,True,True,September,False,True,2020,21-25 Days,Unknown,Open,Access/Login,Software,Low,Arni,Lefever,1 - Low,0 - Unknown,1,2,3,4,Arni Lefever,Waiting,Low,Open,728-519150-3355-2-K,Request,1,0,1,0,100.0%,40.0%,0.0%,-1,False,,-100.0%,+40.0%,,21,1,,1
1,1,29-06-2020,24-09-2025,True,True,June,False,True,2020,6-10 Days,Unknown,Open,Access/Login,Security,Low,Naoma,Winslade,1 - Low,0 - Unknown,1,2,3,4,Naoma Winslade,Waiting,Low,Open,380-939270-1111-1-P,Request,1,0,1,0,100.0%,-33.3%,0.0%,-1,False,--33.3%,-100.0%,,,10,1,,1
1,1,06-05-2020,24-09-2025,True,True,May,False,True,2020,6-10 Days,Satisfied,Resolved,Access/Login,Security,Low,Darelle,Aizic,1 - Low,3 - Highly Satisfied,1,2,3,4,Darelle Aizic,Waiting,Low,Resolved,065-564467-9139-8-B,Request,0,1,0,0,100.0%,-46.7%,100.0%,1,False,--46.7%,,,100.0%,8,1,,1
1,1,05-05-2020,24-09-2025,True,True,May,False,True,2020,16-20 Days,Unknown,Resolved,Access/Login,Security,Medium,Dorotea,Gaymer,2 - Medium,0 - Unknown,1,2,3,4,Dorotea Gaymer,Waiting,Medium,Resolved,250-378578-9916-3-J,Request,0,1,1,0,100.0%,20.0%,0.0%,-1,False,,-100.0%,+20.0%,,18,1,,1
1,1,03-10-2020,24-09-2025,True,True,October,False,True,2020,16-20 Days,Satisfied,Open,Access/Login,Security,Unassigned,Viola,Barfoot,0 - Unassigned,2 - Satisfied,1,2,3,4,Viola Barfoot,Waiting,Unassigned,Open,205-866153-6208-5-N,Request,1,0,0,0,100.0%,20.0%,100.0%,1,True,,,+20.0%,100.0%,18,1,,1
1,1,07-06-2020,24-09-2025,True,True,June,False,True,2020,16-20 Days,Unknown,Open,Access/Login,Security,Low,Miltie,Ealles,1 - Low,0 - Unknown,1,2,3,4,Miltie Ealles,Waiting,Low,Open,263-387073-8151-6-S,Request,1,0,1,0,100.0%,13.3%,0.0%,-1,False,,-100.0%,+13.3%,,17,1,,1
1,1,26-08-2020,24-09-2025,True,True,August,False,True,2020,21-25 Days,Satisfied,Open,Access/Login,Software,High,Barnaby,Gifford,3 - High,3 - Highly Satisfied,1,2,3,4,Barnaby Gifford,Waiting,High,Open,510-992194-8243-6-I,Request,1,0,0,0,100.0%,46.7%,100.0%,1,True,,,+46.7%,100.0%,22,1,,1
1,1,05-07-2020,24-09-2025,True,True,July,False,True,2020,16-20 Days,Satisfied,Open,Access/Login,Software,Medium,Regan,Girvan,2 - Medium,2 - Satisfied,1,2,3,4,Regan Girvan,Waiting,Medium,Open,434-887199-5080-8-S,Request,1,0,0,0,100.0%,33.3%,100.0%,1,True,,,+33.3%,100.0%,20,1,,1
1,1,12-06-2020,24-09-2025,True,True,June,False,True,2020,21-25 Days,Unknown,Open,Hardware,Architecture,Medium,Marleen,Baytrop,2 - Medium,0 - Unknown,1,2,3,4,Marleen Baytrop,Waiting,Medium,Open,557-347162-8889-9-M,Request,1,0,1,0,100.0%,40.0%,0.0%,-1,False,,-100.0%,+40.0%,,21,1,,1
1,0,08-05-2020,24-09-2025,True,True,May,False,True,2020,26-30 Days,Satisfied,Resolved,Access/Login,Software,High,Adlai,Stilly,3 - High,3 - Highly Satisfied,1,2,3,4,Adlai Stilly,Waiting,High,Resolved,399-965567-1951-2-P,Issue,0,1,0,0,100.0%,93.3%,100.0%,1,True,,,+93.3%,100.0%,29,1,,1
1,1,03-09-2020,24-09-2025,True,True,September,False,True,2020,31-35 Days,Unknown,Resolved,Access/Login,Security,Low,Victoir,Folshom,1 - Low,0 - Unknown,1,2,3,4,Victoir Folshom,Waiting,Low,Resolved,868-817257-1615-4-G,Request,0,1,1,0,100.0%,120.0%,0.0%,-1,False,,-100.0%,+120.0%,,33,1,,1
1,1,04-07-2020,24-09-2025,True,True,July,False,True,2020,1-5 Days,Unsatisfied,Open,Software,Software,High,Pearle,Jaime,3 - High,1 - Unsatisfied,1,2,3,4,Pearle Jaime,Waiting,High,Open,354-795846-2148-3-W,Request,1,0,0,0,100.0%,-93.3%,0.0%,-1,False,--93.3%,-100.0%,,,1,1,,1
1,1,04-06-2020,24-09-2025,True,True,June,False,True,2020,26-30 Days,Unknown,Open,Systems,Architecture,Unassigned,Granville,Iskov,0 - Unassigned,0 - Unknown,1,2,3,4,Granville Iskov,Waiting,Unassigned,Open,595-994385-7261-0-G,Request,1,0,1,0,100.0%,100.0%,0.0%,-1,False,,-100.0%,+100.0%,,30,1,,1
1,0,03-07-2020,24-09-2025,True,True,July,False,True,2020,26-30 Days,Satisfied,Open,Access/Login,Networking,High,Jerry,Clausen-Thue,3 - High,2 - Satisfied,1,2,3,4,Jerry Clausen-Thue,Waiting,High,Open,129-039484-9492-9-P,Issue,1,0,0,0,100.0%,80.0%,100.0%,1,True,,,+80.0%,100.0%,27,1,,1
1,1,03-06-2020,24-09-2025,True,True,June,False,True,2020,31-35 Days,Satisfied,Open,Software,Software,Medium,Carolyn,Sherbourne,2 - Medium,2 - Satisfied,1,2,3,4,Carolyn Sherbourne,Waiting,Medium,Open,400-297490-2985-2-K,Request,1,0,0,0,100.0%,113.3%,100.0%,1,True,,,+113.3%,100.0%,32,1,,1
1,1,25-08-2020,24-09-2025,True,True,August,False,True,2020,26-30 Days,Unknown,Resolved,Hardware,Architecture,Unassigned,Concettina,Studdert,0 - Unassigned,0 - Unknown,1,2,3,4,Concettina Studdert,Waiting,Unassigned,Resolved,887-963661-0257-8-L,Request,0,1,1,0,100.0%,80.0%,0.0%,-1,False,,-100.0%,+80.0%,,27,1,,1
1,0,05-08-2020,24-09-2025,True,True,August,False,True,2020,35+ Days,Satisfied,Open,Access/Login,Software,Low,Eddie,Amiranda,1 - Low,2 - Satisfied,1,2,3,4,Eddie Amiranda,Waiting,Low,Open,794-574664-4086-0-R,Issue,1,0,0,0,100.0%,146.7%,100.0%,1,True,,,+146.7%,100.0%,37,1,,1
1,1,24-08-2020,24-09-2025,True,True,August,False,True,2020,26-30 Days,Unsatisfied,Open,Hardware,Hardware,Unassigned,Zachary,Block,0 - Unassigned,1 - Unsatisfied,1,2,3,4,Zachary Block,Waiting,Unassigned,Open,101-623876-8573-7-P,Request,1,0,0,0,100.0%,93.3%,0.0%,-1,False,,-100.0%,+93.3%,,29,1,,1
1,1,26-07-2020,24-09-2025,True,True,July,False,True,2020,31-35 Days,Unknown,Open,Access/Login,Security,Medium,Kylila,O'Lenechan,2 - Medium,0 - Unknown,1,2,3,4,Kylila O'Lenechan,Waiting,Medium,Open,916-450375-4304-2-Y,Request,1,0,1,0,100.0%,126.7%,0.0%,-1,False,,-100.0%,+126.7%,,34,1,,1
1,1,13-09-2020,24-09-2025,True,True,September,True,True,2020,1-5 Days,Unsatisfied,Waiting,Systems,Networking,Unassigned,Valentine,Galea,0 - Unassigned,1 - Unsatisfied,1,2,3,4,Valentine Galea,Waiting,Unassigned,Waiting for Requestor Feedback,486-128496-3755-6-G,Request,0,0,0,1,0.0%,-86.7%,0.0%,-1,False,--86.7%,-100.0%,,,2,1,,1
1,1,06-04-2020,24-09-2025,True,True,April,True,True,2020,31-35 Days,Unknown,Waiting,Hardware,Networking,High,Salim,Renneke,3 - High,0 - Unknown,1,2,3,4,Salim Renneke,Waiting,High,Waiting for Requestor Feedback,450-596458-1082-8-X,Request,0,0,1,1,0.0%,106.7%,0.0%,-1,False,,-100.0%,+106.7%,,31,1,,1
1,1,14-07-2020,24-09-2025,True,True,July,False,True,2020,16-20 Days,Satisfied,Resolved,Systems,Hardware,Low,Izabel,Creswell,1 - Low,2 - Satisfied,1,2,3,4,Izabel Creswell,Waiting,Low,Resolved,674-860649-9491-8-M,Request,0,1,0,0,100.0%,20.0%,100.0%,1,True,,,+20.0%,100.0%,18,1,,1
1,0,26-05-2020,24-09-2025,True,True,May,False,True,2020,21-25 Days,Satisfied,Open,Hardware,Architecture,High,Boyce,Matteacci,3 - High,3 - Highly Satisfied,1,2,3,4,Boyce Matteacci,Waiting,High,Open,448-936714-7148-2-D,Issue,1,0,0,0,100.0%,66.7%,100.0%,1,True,,,+66.7%,100.0%,25,1,,1
1,1,25-06-2020,24-09-2025,True,True,June,False,True,2020,1-5 Days,Satisfied,Open,Access/Login,Security,Unassigned,Minny,Shawl,0 - Unassigned,3 - Highly Satisfied,1,2,3,4,Minny Shawl,Waiting,Unassigned,Open,283-770632-7949-9-S,Request,1,0,0,0,100.0%,-93.3%,100.0%,1,False,--93.3%,,,100.0%,1,1,,1
1,1,07-07-2020,24-09-2025,True,True,July,False,True,2020,21-25 Days,Satisfied,Open,Hardware,Hardware,Unassigned,Helaina,Scrannage,0 - Unassigned,2 - Satisfied,1,2,3,4,Helaina Scrannage,Waiting,Unassigned,Open,116-063261-4337-3-D,Request,1,0,0,0,100.0%,40.0%,100.0%,1,True,,,+40.0%,100.0%,21,1,,1
1,0,27-10-2020,24-09-2025,True,True,October,False,True,2020,16-20 Days,Satisfied,Resolved,Access/Login,Security,Medium,Marlow,Attenburrow,2 - Medium,2 - Satisfied,1,2,3,4,Marlow Attenburrow,Waiting,Medium,Resolved,438-373033-1792-5-E,Issue,0,1,0,0,100.0%,13.3%,100.0%,1,True,,,+13.3%,100.0%,17,1,,1
1,0,22-07-2020,24-09-2025,True,True,July,False,True,2020,26-30 Days,Unknown,Open,Access/Login,Security,Medium,Roderich,Esmond,2 - Medium,0 - Unknown,1,2,3,4,Roderich Esmond,Waiting,Medium,Open,546-917758-0117-0-N,Issue,1,0,1,0,100.0%,100.0%,0.0%,-1,False,,-100.0%,+100.0%,,30,1,,1
1,0,14-03-2020,24-09-2025,True,True,March,True,True,2020,26-30 Days,Satisfied,Waiting,Software,Software,Unassigned,Dorthy,Barge,0 - Unassigned,2 - Satisfied,1,2,3,4,Dorthy Barge,Waiting,Unassigned,Waiting for Requestor Feedback,456-946591-5022-7-P,Issue,0,0,0,1,0.0%,86.7%,100.0%,1,True,,,+86.7%,100.0%,28,1,,1
1,1,02-10-2020,24-09-2025,True,True,October,False,True,2020,21-25 Days,Unknown,Open,Hardware,Networking,High,Cross,Syne,3 - High,0 - Unknown,1,2,3,4,Cross Syne,Waiting,High,Open,007-179007-6828-6-D,Request,1,0,1,0,100.0%,46.7%,0.0%,-1,False,,-100.0%,+46.7%,,22,1,,1
1,0,30-10-2020,24-09-2025,True,True,October,False,True,2020,26-30 Days,Unknown,Open,Systems,Hardware,Low,Lauren,Patershall,1 - Low,0 - Unknown,1,2,3,4,Lauren Patershall,Waiting,Low,Open,366-932146-0545-2-Q,Issue,1,0,1,0,100.0%,73.3%,0.0%,-1,False,,-100.0%,+73.3%,,26,1,,1
1,0,24-09-2020,24-09-2025,True,True,September,False,True,2020,11-15 Days,Satisfied,Open,Hardware,Networking,High,Rowney,Vise,3 - High,2 - Satisfied,1,2,3,4,Rowney Vise,Waiting,High,Open,934-783631-7958-7-G,Issue,1,0,0,0,100.0%,-26.7%,100.0%,1,False,--26.7%,,,100.0%,11,1,,1
1,0,09-05-2020,24-09-2025,True,True,May,False,True,2020,21-25 Days,Satisfied,Open,Access/Login,Software,Medium,Vita,Greber,2 - Medium,2 - Satisfied,1,2,3,4,Vita Greber,Waiting,Medium,Open,628-088765-4534-1-V,Issue,1,0,0,0,100.0%,46.7%,100.0%,1,True,,,+46.7%,100.0%,22,1,,1
1,0,14-06-2020,24-09-2025,True,True,June,False,True,2020,11-15 Days,Unsatisfied,Open,Access/Login,Security,Unassigned,Nichol,Scampion,0 - Unassigned,1 - Unsatisfied,1,2,3,4,Nichol Scampion,Waiting,Unassigned,Open,848-756752-4045-4-R,Issue,1,0,0,0,100.0%,0.0%,0.0%,-1,False,,-100.0%,+0.0%,,15,1,,1
1,0,11-09-2020,24-09-2025,True,True,September,False,True,2020,16-20 Days,Unknown,Open,Systems,Networking,Unassigned,Osbourne,Dyte,0 - Unassigned,0 - Unknown,1,2,3,4,Osbourne Dyte,Waiting,Unassigned,Open,936-403098-2674-3-X,Issue,1,0,1,0,100.0%,33.3%,0.0%,-1,False,,-100.0%,+33.3%,,20,1,,1
1,0,04-10-2020,24-09-2025,True,True,October,False,True,2020,16-20 Days,Satisfied,Open,Systems,Hardware,Unassigned,Kandy,Herries,0 - Unassigned,3 - Highly Satisfied,1,2,3,4,Kandy Herries,Waiting,Unassigned,Open,415-778614-1612-9-F,Issue,1,0,0,0,100.0%,26.7%,100.0%,1,True,,,+26.7%,100.0%,19,1,,1
1,0,19-10-2020,24-09-2025,True,True,October,False,True,2020,26-30 Days,Unknown,Open,Systems,Architecture,Medium,Deeanne,Allflatt,2 - Medium,0 - Unknown,1,2,3,4,Deeanne Allflatt,Waiting,Medium,Open,366-569433-4410-2-O,Issue,1,0,1,0,100.0%,80.0%,0.0%,-1,False,,-100.0%,+80.0%,,27,1,,1
1,1,12-03-2020,24-09-2025,True,True,March,False,True,2020,1-5 Days,Unknown,Open,Access/Login,Software,Unassigned,Melisent,Shird,0 - Unassigned,0 - Unknown,1,2,3,4,Melisent Shird,Waiting,Unassigned,Open,711-032986-8121-0-R,Request,1,0,1,0,100.0%,-66.7%,0.0%,-1,False,--66.7%,-100.0%,,,5,1,,1
1,0,27-08-2020,24-09-2025,True,True,August,False,True,2020,6-10 Days,Satisfied,Open,Software,Software,High,Gaye,Ickovici,3 - High,2 - Satisfied,1,2,3,4,Gaye Ickovici,Waiting,High,Open,368-070803-1662-9-E,Issue,1,0,0,0,100.0%,-33.3%,100.0%,1,False,--33.3%,,,100.0%,10,1,,1
1,0,07-10-2020,24-09-2025,True,True,October,False,True,2020,21-25 Days,Satisfied,Open,Access/Login,Security,High,Valma,Lilywhite,3 - High,3 - Highly Satisfied,1,2,3,4,Valma Lilywhite,Waiting,High,Open,091-760630-1437-5-Q,Issue,1,0,0,0,100.0%,66.7%,100.0%,1,True,,,+66.7%,100.0%,25,1,,1
